LOCATION,CRL,MARL,NAME_CR,NAME_MAR,NAME_ENGLISH,IN_ROUNDEL,IN_COMMENTARY
L099,CRL111,N/A,Castella et Legiones,N/A,Castile and León,N/A,"CRC132, CRC134, CRC133, CRC123"
L100,CRL112,N/A,Ultonia,N/A,Ulster,CRN595,CRC133
L101,CRL113,N/A,Northumberland,N/A,Northumberland,CRN578,CRC133
L102,CRL114,N/A,Kambria,N/A,Cambria,N/A,"CRC032, CRC033, CRC025, CRC014, CRC031"
L103,CRL115,N/A,Morgan,N/A,Morgan,N/A,CRC025
L104,CRL116,N/A,Loygaria,N/A,Loygaria,N/A,CRC014
L105,CRL117,N/A,Loyga / Loegria,N/A,Loegria,N/A,"CRC050, CRC031, CRC032"
L106,CRL118,N/A,Wallia,N/A,Wales,N/A,"CRC126, CRC125, CRC014, CRC121"
L107,CRL120,N/A,Alba,N/A,Albanum,N/A,"CRC051, CRC031, CRC055, CRC032, CRC023, CRC030"
L108,CRL121,N/A,Babilonia,N/A,Babylon,N/A,CRC001
L109,CRL122,N/A,Creta,N/A,Crete,N/A,CRC004
L110,CRL123,N/A,Leogecia,N/A,Leogecia,N/A,CRC014
L111,CRL124,N/A,insula Vecta,N/A,Isle of Wight,N/A,CRC079
L112,CRL125,N/A,Anglesya,N/A,Anglesea,N/A,CRC121
L113,CRL127,N/A,Albion,N/A,Albion,N/A,CRC014
L114,CRL129,N/A,Atlantis,N/A,Atlantis,N/A,CRC005
L115,CRL130,N/A,Frigia,N/A,Phrygia,N/A,"MARC004, CRC006"
L116,CRL131,N/A,Dardanus,N/A,Dardanus,N/A,"MARC004, CRC006"
L117,CRL132,N/A,Alba,N/A,Alba,N/A,CRC011
L118,CRL133,N/A,Sicadem,N/A,Sicadem,N/A,CRC014
L119,CRL134,N/A,Ilirico,N/A,Illyria,N/A,CRC014
L120,CRL135,N/A,Hispania Waschensia,N/A,Spanish Gascony,N/A,CRC030
L121,CRL136,N/A,Suthampton,N/A,Southampton,N/A,CRC033
L122,CRL137,N/A,Catheneis,N/A,Caithness,N/A,"CRC033, CRC051"
L123,CRL138,N/A,Demetia,N/A,"Demetia [refers to an area in South Wales, in Welsh‚ Dyfed]",N/A,CRC050
L124,CRL139,N/A,Westmarina,N/A,Westmoreland,N/A,CRC051
L127,CRL142,N/A,Armoricus,N/A,Armoricus,N/A,CRC062
L128,CRL144,N/A,Kantia,N/A,Kent,CRN054,"CRC075, CRC063, CRC074, CRC068"
L129,CRL145,N/A,Est Anglia,N/A,East Anglia,CRN062,CRC063
L130,CRL146,N/A,South Sexia,N/A,Sussex,CRN090,CRC063
L131,CRL147,N/A,Est Sexia,N/A,Essex,CRN080,"CRC095, CRC063"
L132,CRL148,N/A,Northumbria,N/A,Northumbria,CRN071,"CRC082, CRC063"
L133,CRL149,N/A,Merciorum,N/A,[Kingdom of the] Mercians,CRN072,CRC063
L134,CRL150,N/A,Lyncoln’,N/A,Lincoln,N/A,"CRC097, CRC063, CRC114, CRC055"
L135,CRL152,N/A,Northhampton,N/A,Northampton,N/A,CRC063
L136,CRL153,N/A,Huntyngdon,N/A,Huntington,N/A,CRC063
L137,CRL154,N/A,Herford,N/A,Hereford,N/A,CRC063
L138,CRL155,N/A,Bokyngham,N/A,Buckingham,N/A,CRC063
L139,CRL156,N/A,Oxonia,N/A,Oxford,N/A,CRC063
L140,CRL157,N/A,Gloucestria,N/A,Gloucester,N/A,CRC063
L141,CRL158,N/A,Wigorn[iensis],N/A,Worcester,N/A,CRC063
L142,CRL159,N/A,Walrwyk,N/A,Warwick,N/A,CRC063
L143,CRL160,N/A,Jutha,N/A,Jute,N/A,"CRC063, CRC066"
L144,CRL161,N/A,Anglus,N/A,Anglia,N/A,CRC063
L145,CRL162,N/A,Tanecastria,N/A,Tanecastria,N/A,CRC068
L146,CRL163,N/A,Ambresburia,N/A,Amesbury,N/A,CRC068
L147,CRL164,N/A,Ergni,N/A,Ergni,N/A,"CRC069, CRC070"
L148,CRL165,N/A,Verulamium,N/A,Verulamium,N/A,CRC071
L149,CRL166,N/A,Osland,N/A,Osland,N/A,CRC072
L150,CRL167,N/A,Goodland,N/A,Goodland,N/A,CRC072
L151,CRL168,N/A,Orcad,N/A,Orkney,N/A,CRC072
L152,CRL169,N/A,Dacia,N/A,Dacia,N/A,CRC072
L153,CRL170,N/A,Gallia Acquitannia,N/A,Septentrional Gaul,N/A,CRC072
L154,CRL171,N/A,Loegaria,N/A,Loegaria,N/A,CRC073
L155,CRL177,N/A,Austrius,N/A,Austrasia,N/A,CRC066
L156,CRL178,N/A,turris Babel,N/A,Tower of Babel,N/A,CRC001
L157,CRL179,N/A,Arae Philistinorum,N/A,Altars of the Philistines,N/A,CRC014
L158,CRL180,N/A,Puellarum Castellus,N/A,Castle of Maidens,N/A,CRC018
L159,CRL181,N/A,templum Domini,N/A,Temple of the Lord,N/A,CRC019
L160,CRL182,N/A,templum Apolinis,N/A,Temple of Apollo,N/A,CRC022
L161,CRL183,N/A,Antichena,N/A,Antioch,N/A,CRC050
L162,CRL184,N/A,Chorea Gigantum,N/A,Giants' Dance,N/A,"CRC070, CRC069"
L163,CRL185,N/A,abbathia Sancti Augustini,N/A,Abbey of St Augustine,N/A,CRC075
L164,CRL186,N/A,Taunton,N/A,Taunton,N/A,CRC080
L165,CRL207,N/A,castrum de Flint,N/A,Flint Castle,N/A,CRC121
L166,CRL208,N/A,castrum de Rocheland,N/A,Rhuddlan Castle,N/A,CRC121
L167,CRL209,N/A,Bellum Mariscum,N/A,Beaumaris,N/A,CRC121
L168,CRL211,N/A,Belyngysgate,N/A,Billingsgate,N/A,CRC033
L169,CRL212,N/A,Ludgate,N/A,Ludgate,N/A,CRC047
L170,CRL213,N/A,Tiberius,N/A,Tiber,N/A,CRC011
L171,CRL214,N/A,Grecia mare,N/A,Greek sea,N/A,CRC014
L172,CRL215,N/A,Montes Agaric,N/A,Mountains of Agarie,N/A,CRC014
L173,CRL216,N/A,Sabrina,N/A,River Severn,N/A,CRC018
L174,CRL217,N/A,Mons Dolorsus,N/A,Mount Dolorosus,N/A,CRC018
L175,CRL218,N/A,Soar,N/A,River Soar,N/A,CRC023
L176,CRL219,N/A,Mare Rubrum,N/A,Red Sea,N/A,CRC030
L177,CRL220,N/A,Ybon,N/A,River Ebro,N/A,CRC030
L179,CRL222,N/A,Cornubi mare,N/A,Cornish sea,N/A,CRC033
L180,CRL223,N/A,occeanus Britanicum,N/A,British ocean,N/A,CRC044
L181,CRL224,N/A,Septemtrionalis [axis],N/A,North Pole,N/A,CRC044
L182,CRL225,N/A,Montes Ererii,N/A,Mountains of Eriri,N/A,CRC068
L183,CRL226,N/A,Flumen Waye,N/A,River Wye,N/A,"CRC070, CRC069"
L184,CRL227,N/A,Mons Cloart,N/A,Mount Doartius,N/A,"CRC069, CRC070"
L185,CRL228,N/A,Montes Kyldarne,N/A,Mountains of Kildare,N/A,"CRC070, CRC069"
L186,CRL229,N/A,Mons Ambri,N/A,Mount Ambri,N/A,"CRC069, CRC070"
L187,CRL232,N/A,Humber,N/A,Humber,N/A,"CRC031, CRC013, CRC014"
L188,CRL233,N/A,Collebrok,N/A,Collebrok,N/A,CRC057
L189,CRL234,N/A,Cipre,N/A,Cyprus,N/A,CRC004
L191,CRL236,N/A,"[1] Glastinbery, [2] Glasto’",N/A,Glastonbury,N/A,"CRC100, CRC104, CRC072, CRC097"
L192,CRL238,N/A,Armoric,N/A,Armorica,N/A,CRC067
L193,CRL239,N/A,Ryvall,N/A,Rievaulx,N/A,CRC044
L194,CRL245,N/A,Gaunt’,N/A,Gaunt,N/A,"CRC118, CRC127"
L195,CRL300,N/A,Derby,N/A,Derby,N/A,CRC097
