ROUNDEL,LINE,TRANSCRIPTION,TRANSLATION,HAND
CRN143,#1-2,Maylgo Magnus,Malgo the Great,Lancastrian Scribe
CRN145,#1,Run,Run,Lancastrian Scribe
CRN146,#1,Bely,Bely,Lancastrian Scribe
CRN148,#2,Kadwanus,Kadwanus,Lancastrian Scribe
CRN148,#1,XL,XL,Roman Numerals Scribe
CRN149,#1-2,Kadwallo,Kadwallo,Lancastrian Scribe
CRN150,#1-2,Kadwaladrus,Kadwaladrus,Lancastrian Scribe
CRN151,#1,Inorus,Inorus,Lancastrian Scribe
CRN152,#1,Ym,Ym,Lancastrian Scribe
CRN153,#1-2,IdwalIurth,IdwalIurth,Lancastrian Scribe
CRN154,#1-3,Rodrmalitinant,RhodrMolwynog,Lancastrian Scribe
CRN155,#1-3,Kanaan dyndeythos,Kanaan dyndeythos,Lancastrian Scribe
CRN156,#1,Dechild,Dechild,Lancastrian Scribe
CRN157,#1,Mernembreth,Mernem breth,Lancastrian Scribe
CRN158,#1-2,Bodrivaur,Bodrivaur,Lancastrian Scribe
CRN159,#1,Anarand,Anarand,Lancastrian Scribe
CRN160,#1,Idwalvoyll,Idwavoyll,Lancastrian Scribe
CRN161,#1,Menrit,Menrit,Lancastrian Scribe
CRN162,#1,Idwall,Idwal,Lancastrian Scribe
CRN164,#1,Kanaan,Kanaan,Lancastrian Scribe
CRN165,#1-3,Griffinus decollatus a suis,Gruffinus was beheaded by his own people,Lancastrian Scribe
CRN166,#1,Yerwede,Yerwede,Lancastrian Scribe
CRN167,#1,Lewelinus,Llewelyn,Lancastrian Scribe
CRN168,#1,Gruffrius,Gruffrius,Lancastrian Scribe
CRN169,#1-2,Oweyngoth,Oweyngoth,Lancastrian Scribe
CRN170,#1-2,Lewilinus,Llewelyn,Lancastrian Scribe
CRN171,#1,David,David,Lancastrian Scribe
CRN172,#1,Rodri,Rodri,Lancastrian Scribe
CRN173,#1,Radell,Radell,Lancastrian Scribe
CRN174,#1,Howellda,Howellda,Lancastrian Scribe
CRN175,#1,Owynus,Owen,Lancastrian Scribe
CRN176,#1,Eynann,Eynann,Lancastrian Scribe
CRN177,#1,Kadell,Kadell,Lancastrian Scribe
CRN178,#1,Resus,Resus,Lancastrian Scribe
CRN179,#1,Gruffinus,Gruffninus,Lancastrian Scribe
CRN180,#1-2,Resus maure,Resus the Moor,Lancastrian Scribe
CRN181,#1,Resus,Resus,Lancastrian Scribe
CRN182,#1,Mereduth,Mereduth,Lancastrian Scribe
CRN183,#1-2,Idem Mereduth,The same Mereduth,Lancastrian Scribe
CRN184,#1,Resus,Resus,Lancastrian Scribe
CRN185,#2,Locrinus,Locrinus,Lancastrian Scribe
CRN185,#1,X,X,Roman Numerals Scribe
CRN186,#2,Maddan,Maddan,Lancastrian Scribe
CRN186,#1,XL,XL,Roman Numerals Scribe
CRN187,#2,Mempricius,Mempricius,Lancastrian Scribe
CRN187,#1,XX,XX,Roman Numerals Scribe
CRN188,#2-3,Ebrancus,Ebrancus,Lancastrian Scribe
CRN188,#1,LX,LX,Roman Numerals Scribe
CRN189,#2,Brutus viridescutum,Brutus Greenshield,Lancastrian Scribe
CRN189,#1,XII,XII,Roman Numerals Scribe
CRN190,#2,Leyl,Leil,Lancastrian Scribe
CRN190,#1,XXV,XXV,Roman Numerals Scribe
CRN191,#2,Runhyrbras,Rud Hud Hudibras,Lancastrian Scribe
CRN191,#1,XXXIX,XXXIX,Roman Numerals Scribe
CRN192,#2,Bladuth,Bladud,Lancastrian Scribe
CRN192,#1,XXVI,XXVI,Roman Numerals Scribe
CRN193,#2,Leyr,Lear,Lancastrian Scribe
CRN193,#1,LX,LX,Roman Numerals Scribe
CRN194,#1,Gnarilla,Gonarilla,Lancastrian Scribe
CRN195,#1,Morganus,Morgan,Lancastrian Scribe
CRN196,#1,Cordella,Cordella,Lancastrian Scribe
CRN197,#2,Regan,Regan,Lancastrian Scribe
CRN197,#1,III,III,Roman Numerals Scribe
CRN198,#2-3,Cunedagius,Cunedag,Lancastrian Scribe
CRN198,#1,XXXV,XXXV,Roman Numerals Scribe
CRN199,#2-3,Rutlan veRivallo,Rutlan or Riwallo,Lancastrian Scribe
CRN199,#1,XIX,XIX,Roman Numerals Scribe
CRN200,#2,Gurgustus ,Gurgustius ,Lancastrian Scribe
CRN200,#1,VII,VII,Roman Numerals Scribe
CRN201,#2,Sisillius,Sisillius,Lancastrian Scribe
CRN201,#1,XV,XV,Roman Numerals Scribe
CRN202,#1,Yago,Iago,Lancastrian Scribe
CRN203,#2,Kymarcus,Kimarcus,Lancastrian Scribe
CRN203,#1,IX,IX,Roman Numerals Scribe
CRN204,#1-2,Gorbodugo,Gorboduc,Lancastrian Scribe
CRN205,#1 ,Porrex,Porrex,Lancastrian Scribe
CRN206,#2-4,Dunwallo veMumultius ,Dunwallo or Mumultius ,Lancastrian Scribe
CRN206,#1,XL,XL,Roman Numerals Scribe
CRN207,#1,Brenius ,Brennius ,Lancastrian Scribe
CRN208,#2,Belinus ,Belinus ,Lancastrian Scribe
CRN208,#1,XXIIII,XXIIII,Roman Numerals Scribe
CRN209,#2,Gurgwynt bartrut,Gurgiunt Barbtruc,Lancastrian Scribe
CRN210,#1,Guthelinus,Guithelin,Lancastrian Scribe
CRN211,#2,Sisillius ,Sisillius ,Lancastrian Scribe
CRN211,#1,XV,XV,Roman Numerals Scribe
CRN212,#2,Kymarus ,Kinarius ,Lancastrian Scribe
CRN212,#1,XI,XI,Roman Numerals Scribe
CRN213,#1,Danius ,Danius ,Lancastrian Scribe
CRN214,#2,Morwidus ,Morvidus ,Lancastrian Scribe
CRN214,#1,X,X,Roman Numerals Scribe
CRN215,#2-3,Gorbonianus ,Gorbonianus ,Lancastrian Scribe
CRN215,#1,VII,VII,Roman Numerals Scribe
CRN216,#2-3,Archigallo ,Arthgallo ,Lancastrian Scribe
CRN216,#1,X,X,Roman Numerals Scribe
CRN217,#1-2,Elidurus pius,Elidur the pious,Lancastrian Scribe
CRN218,#2,Peredurus,Peredur,Lancastrian Scribe
CRN218,#1,VII,VII,Roman Numerals Scribe
CRN219,#2,Vigenius ,Vigenius ,Lancastrian Scribe
