ROUNDEL,LINE,TRANSCRIPTION,TRANSLATION,HAND
CRN270,#3,11,11,Lancastrian Scribe [Arabic Numerals]
CRN271,#3,30,30,Lancastrian Scribe [Arabic Numerals]
CRN272,#3,55,55,Lancastrian Scribe [Arabic Numerals]
CRN273,#3,5,5,Lancastrian Scribe [Arabic Numerals]
CRN274,#2,7,7,Lancastrian Scribe [Arabic Numerals]
CRN275,#3,10,10,Lancastrian Scribe [Arabic Numerals]
CRN276,#2,7,7,Lancastrian Scribe [Arabic Numerals]
CRN278,#3,23,23,Lancastrian Scribe [Arabic Numerals]
CRN279,#2,6,6,Lancastrian Scribe [Arabic Numerals]
CRN280,17,17,Lancastrian Scribe [Arabic Numerals]
CRN282,29,29,Lancastrian Scribe [Arabic Numerals]
CRN283,#2,4,4,Lancastrian Scribe [Arabic Numerals]
CRN284,#2,3,3,Lancastrian Scribe [Arabic Numerals]
CRN285,#2,4,4,Lancastrian Scribe [Arabic Numerals]
CRN286,#2,5,5,Lancastrian Scribe [Arabic Numerals]
CRN288,#3,31,31,Lancastrian Scribe [Arabic Numerals]
CRN289,#3,24,24,Lancastrian Scribe [Arabic Numerals]
CRN291,#3,56,56,Lancastrian Scribe [Arabic Numerals]
CRN292,#3,24,24,Lancastrian Scribe [Arabic Numerals]
CRN293,#3,26,26,Lancastrian Scribe [Arabic Numerals]
CRN296,#2,13,13,Lancastrian Scribe [Arabic Numerals]
CRN297,#2,1,1,Lancastrian Scribe [Arabic Numerals]
CRN299,#3,6,6,Lancastrian Scribe [Arabic Numerals]
CRN300,#3,33,33,Lancastrian Scribe [Arabic Numerals]
CRN301,#3,22,22,Lancastrian Scribe [Arabic Numerals]
CRN302,#3,12,12,Lancastrian Scribe [Arabic Numerals]
CRN303,#3,34,34,Lancastrian Scribe [Arabic Numerals]
CRN304,#2,3,3,Lancastrian Scribe [Arabic Numerals]
CRN305,#2,9,9,Lancastrian Scribe [Arabic Numerals]
CRN306,#3,18,18,Lancastrian Scribe [Arabic Numerals]
CRN319,#3,12,12,Lancastrian Scribe [Arabic Numerals]
CRN320,#3,30,30,Lancastrian Scribe [Arabic Numerals]
CRN322,#2,5,5,Lancastrian Scribe [Arabic Numerals]
CRN324,#2,9,9,Lancastrian Scribe [Arabic Numerals]
CRN325,#3,20,20,Lancastrian Scribe [Arabic Numerals]
CRN326,#3,15,15,Lancastrian Scribe [Arabic Numerals]
CRN327,#3,20,20,Lancastrian Scribe [Arabic Numerals]
CRN328,#3,11,11,Lancastrian Scribe [Arabic Numerals]
CRN329,#2,2,2,Lancastrian Scribe [Arabic Numerals]
CRN330,#3,11,11,Lancastrian Scribe [Arabic Numerals]
CRN331,#2,8,8,Lancastrian Scribe [Arabic Numerals]
CRN332,#2,21,21,Lancastrian Scribe [Arabic Numerals]
CRN334,#3,6,6,Lancastrian Scribe [Arabic Numerals]
CRN335,#2,8,8,Lancastrian Scribe [Arabic Numerals]
CRN336,#3,3,3,Lancastrian Scribe [Arabic Numerals]
CRN337,#3,10,10,Lancastrian Scribe [Arabic Numerals]
CRN338,#2,1,1,Lancastrian Scribe [Arabic Numerals]
CRN339,#2,9,9,Lancastrian Scribe [Arabic Numerals]
CRN340,#3,18,18,Lancastrian Scribe [Arabic Numerals]
CRN355,#2,7,7,Lancastrian Scribe [Arabic Numerals]
CRN358,#3,41,41,Lancastrian Scribe [Arabic Numerals]
CRN359,#4,14,14,Lancastrian Scribe [Arabic Numerals]
CRN360,#4,31,31,Lancastrian Scribe [Arabic Numerals]
CRN361,#5,31,31,Lancastrian Scribe [Arabic Numerals]
CRN362,#2,2,2,Lancastrian Scribe [Arabic Numerals]
CRN363,#2,9,9,Lancastrian Scribe [Arabic Numerals]
CRN364,#2,2,2,Lancastrian Scribe [Arabic Numerals]
CRN365,#3,37,37,Lancastrian Scribe [Arabic Numerals]
CRN366,#2,9,9,Lancastrian Scribe [Arabic Numerals]
CRN367,#3,26,26,Lancastrian Scribe [Arabic Numerals]
CRN368,#2,1,1,Lancastrian Scribe [Arabic Numerals]
CRN369,#3,36,36,Lancastrian Scribe [Arabic Numerals]
CRN370,#3,16,16,Lancastrian Scribe [Arabic Numerals]
CRN376,#3,19,19,Lancastrian Scribe [Arabic Numerals]
CRN377,#1,5,5,Lancastrian Scribe [Arabic Numerals]
CRN378,#2,8,8,Lancastrian Scribe [Arabic Numerals]
CRN379,#3,41,41,Lancastrian Scribe [Arabic Numerals]
CRN380,#3,1,1,Lancastrian Scribe [Arabic Numerals]
CRN381,#3,39,39,Lancastrian Scribe [Arabic Numerals]
CRN382,#2,1,1,Lancastrian Scribe [Arabic Numerals]
CRN383,#2,26,26,Lancastrian Scribe [Arabic Numerals]
CRN384,#2,8,8,Lancastrian Scribe [Arabic Numerals]
CRN385,#2,1,1,Lancastrian Scribe [Arabic Numerals]
CRN386,#2,1,1,Lancastrian Scribe [Arabic Numerals]
CRN387,#2,1,1,Lancastrian Scribe [Arabic Numerals]
CRN388,#2,20,20,Lancastrian Scribe [Arabic Numerals]
CRN393,#4,18,18,Lancastrian Scribe [Arabic Numerals]
CRN394,#2,5,5,Lancastrian Scribe [Arabic Numerals]
CRN395,#2,5,5,Lancastrian Scribe [Arabic Numerals]
CRN396,#2,6,6,Lancastrian Scribe [Arabic Numerals]
CRN397,#3,30,30,Lancastrian Scribe [Arabic Numerals]
CRN399,#3,26,26,Lancastrian Scribe [Arabic Numerals]
CRN405,#4,14,14,Lancastrian Scribe [Arabic Numerals]
CRN409,#4,10,10,Lancastrian Scribe [Arabic Numerals]
CRN410,#3,5,5,Lancastrian Scribe [Arabic Numerals]
CRN411,#3,16,16,Lancastrian Scribe [Arabic Numerals]
CRN414,#3,5,5,Lancastrian Scribe [Arabic Numerals]
CRN434,#2,9,9,Lancastrian Scribe [Arabic Numerals]
CRN435,#4,21,21,Lancastrian Scribe [Arabic Numerals]
CRN441,#4,12,12,Lancastrian Scribe [Arabic Numerals]
CRN443,#4,35,35,Lancastrian Scribe [Arabic Numerals]
CRN448,#5,19,19,Lancastrian Scribe [Arabic Numerals]
CRN449,#4,35,35,Lancastrian Scribe [Arabic Numerals]
CRN458,#4,10,10,Lancastrian Scribe [Arabic Numerals]
CRN461,#4,17,17,Lancastrian Scribe [Arabic Numerals]
CRN468,#4,57,57,Lancastrian Scribe [Arabic Numerals]
CRN477,#4,34,34,Lancastrian Scribe [Arabic Numerals]
CRN492,#4,20,20,Lancastrian Scribe [Arabic Numerals]
CRN499,#4,50,50,Lancastrian Scribe [Arabic Numerals]
CRN502,#4,23,23,Lancastrian Scribe [Arabic Numerals]
CRN519,#4,14,14,Lancastrian Scribe [Arabic Numerals]
CRN567,#4,10,10,Lancastrian Scribe [Arabic Numerals]
CRN544,#4,2,2,Lancastrian Scribe [Arabic Numerals]
